size,throughput
16,1.60e-01
1040,3.74e-02
2064,2.20e-02
3088,1.90e-02
4112,1.78e-02
5136,1.72e-02
6160,1.64e-02
7184,1.66e-02
8208,1.60e-02
9232,1.65e-02
10256,1.65e-02
11280,1.63e-02
12304,1.57e-02
13328,1.57e-02
14352,1.49e-02
15376,1.56e-02
16400,1.49e-02
17424,1.58e-02
18448,1.50e-02
19472,1.48e-02
20496,1.49e-02
21520,1.50e-02
22544,1.48e-02
23568,1.50e-02
24592,1.46e-02
25616,1.47e-02
26640,1.47e-02
27664,1.46e-02
28688,1.49e-02
29712,1.46e-02
30736,1.45e-02
31760,1.43e-02
32784,1.44e-02
33808,1.41e-02
34832,1.39e-02
35856,1.40e-02
36880,1.29e-02
37904,1.33e-02
38928,1.29e-02
39952,1.30e-02
40976,1.40e-02
42000,1.21e-02
43024,1.55e-02
44048,1.76e-02
45072,1.51e-02
46096,1.44e-02
47120,1.98e-02
48144,1.69e-02
49168,1.94e-02
