size,throughput
16,1.92e-02
32,1.00e-02
48,6.92e-03
64,4.95e-03
80,3.99e-03
96,3.40e-03
112,2.88e-03
128,2.36e-03
144,2.07e-03
160,1.86e-03
176,1.68e-03
192,2.26e-03
208,2.63e-03
224,1.70e-03
240,2.03e-03
256,1.70e-03
272,1.72e-03
288,1.42e-03
304,1.31e-03
320,9.60e-04
336,9.80e-04
352,1.06e-03
368,1.01e-03
384,7.20e-04
400,7.21e-04
416,1.10e-03
432,1.15e-03
448,1.06e-03
464,6.35e-04
480,6.40e-04
496,6.16e-04
512,5.98e-04
528,5.55e-04
544,5.28e-04
560,5.17e-04
576,5.03e-04
592,4.86e-04
608,6.90e-04
624,6.87e-04
640,6.53e-04
656,4.28e-04
672,4.16e-04
688,4.07e-04
704,4.09e-04
720,3.91e-04
736,3.97e-04
752,3.76e-04
768,3.68e-04
784,3.67e-04
800,3.76e-04
816,3.45e-04
832,3.47e-04
848,3.45e-04
864,3.28e-04
880,3.34e-04
896,3.22e-04
912,3.01e-04
928,3.21e-04
944,3.03e-04
960,3.02e-04
976,2.86e-04
992,2.70e-04
1008,2.91e-04
